,community_id,community_name,total_pop,pop_18_34,pct_18_34,asian_pop,pct_asian,total_households,high_income_households,high_income_share,crime_count,violent_crime_count,total_cta_rides,avg_cta_rides,num_cta_stations,num_divvy_stations,total_docks,avg_docks_per_station,pct_18_34_z,pct_asian_z,high_income_share_z,total_cta_rides_z,num_divvy_stations_z,crime_count_z,final_score,competition_score_x,final_score_adj,competition_score_y,num_competitors,final_score_white_space
36,37,FULLER PARK,2186,420,0.19213174748398903,7,0.003202195791399817,430,95,0.22093023255813954,629,248,903157.0,1356.0915915915916,2.0,3.0,33.0,11.0,-0.8915129780354748,-0.6032832396520155,-1.6040073303103022,-0.10826808223745464,-0.7872915859353853,-0.9653473687485098,-3.029015847422122,,-3.029015847422122,,0.0,-3.029015847422122
37,38,GRAND BOULEVARD,24808,6362,0.25644953240890034,204,0.008223153821347952,5206,2698,0.5182481751824818,3090,949,578593.0,434.3791291291291,4.0,10.0,134.0,13.4,-0.11382780260327982,-0.5540737392236273,-0.05523872672558841,-0.2175681933416709,-0.3178776867991323,0.1111002408981067,-1.3696863895914055,,-1.3696863895914055,,0.0,-1.3696863895914055
38,39,KENWOOD,14368,3138,0.218402004454343,697,0.04851057906458797,2876,1900,0.6606397774687065,1874,515,0.0,0.0,0.0,6.0,90.0,15.0,-0.5738716067648405,-0.1592239798866923,0.6864980184181965,-0.41241506232320246,-0.5861142005912768,-0.42078122733849865,-0.624345603809317,,-0.624345603809317,,0.0,-0.624345603809317
39,40,WASHINGTON PARK,12362,3152,0.2549749231515936,0,0.0,2717,584,0.21494295178505704,2243,864,199741.0,599.8228228228228,1.0,5.0,59.0,11.8,-0.13165773502867917,-0.6346673807320196,-1.635195870094841,-0.34515032103314175,-0.653173329039313,-0.2593796962699893,-3.1404649396580053,,-3.1404649396580053,,0.0,-3.1404649396580053
40,41,HYDE PARK,24092,11272,0.4678731529138303,3763,0.15619292711273453,3674,2809,0.7645617855198693,2317,469,0.0,0.0,0.0,19.0,337.0,17.736842105263158,2.4425571163556348,0.8961512136119556,1.2278415440407946,-0.41241506232320246,0.28565446923319293,-0.22701190955164324,4.666801190470018,,4.666801190470018,,1.0,4.166801190470018
41,42,WOODLAWN,24437,7526,0.3079756107541842,867,0.03547898678233826,4608,1724,0.3741319444444444,3380,1166,247625.0,371.8093093093093,2.0,13.0,167.0,12.846153846153847,0.5091891020377405,-0.28694425601148005,-0.8059592902539608,-0.32902491427171937,-0.1167003014550239,0.23794697263216555,-1.2673866325866092,,-1.2673866325866092,,0.0,-1.2673866325866092
42,43,SOUTH SHORE,46276,11202,0.24206932319128707,160,0.003457515774915723,9423,3361,0.3566804626976547,7464,2871,0.0,0.0,0.0,11.0,129.0,11.727272727272727,-0.28770312404364523,-0.6007808947283453,-0.8968663736842052,-0.41241506232320246,-0.2508185583510962,2.0242988774662907,-4.472882890596785,,-4.472882890596785,,0.0,-4.472882890596785
43,44,CHATHAM,31440,7758,0.2467557251908397,111,0.003530534351145038,6544,2647,0.4044926650366748,4928,1701,1331129.0,1998.6921921921921,2.0,13.0,163.0,12.538461538461538,-0.2310384648763132,-0.6000652528853335,-0.647806269213903,0.03585568734109887,-0.1167003014550239,0.9150460785781072,-2.474800679667582,,-2.474800679667582,,0.0,-2.474800679667582
44,45,AVALON PARK,9492,1577,0.16613990729034978,65,0.0068478718921196795,2413,1148,0.4757563199336925,953,317,0.0,0.0,0.0,5.0,55.0,11.0,-1.2057879305139287,-0.5675526283682578,-0.2765844374368367,-0.41241506232320246,-0.653173329039313,-0.8236289512249406,-2.2918844364565976,,-2.2918844364565976,,0.0,-2.2918844364565976
45,46,SOUTH CHICAGO,29072,6761,0.23256053935057788,125,0.004299669785360484,6339,2350,0.3707209339012463,3446,1204,0.0,0.0,0.0,10.0,137.0,13.7,-0.4026766144700017,-0.5925270957739297,-0.8237276966581333,-0.41241506232320246,-0.3178776867991323,0.26681553916474443,-2.8160396951891435,,-2.8160396951891435,,0.0,-2.8160396951891435
